42,"average_overall",0.28
42,"total_weighted_overall",0.757
42,"lang_weighted_overall",0.012
42,"total_and_lang_weighted_overall",0.404
223,"average_overall",0.403
223,"total_weighted_overall",0.813
223,"lang_weighted_overall",0.166
223,"total_and_lang_weighted_overall",0.418
12345,"average_overall",0.343
12345,"total_weighted_overall",0.712
12345,"lang_weighted_overall",0.15
12345,"total_and_lang_weighted_overall",0.507
54321,"average_overall",0.277
54321,"total_weighted_overall",0.56
54321,"lang_weighted_overall",-0.11
54321,"total_and_lang_weighted_overall",0.132
13579,"average_overall",0.323
13579,"total_weighted_overall",0.699
13579,"lang_weighted_overall",-0.023
13579,"total_and_lang_weighted_overall",0.335
97531,"average_overall",0.03
97531,"total_weighted_overall",0.398
97531,"lang_weighted_overall",-0.074
97531,"total_and_lang_weighted_overall",0.144
101010,"average_overall",0.357
101010,"total_weighted_overall",0.542
101010,"lang_weighted_overall",0.2
101010,"total_and_lang_weighted_overall",0.434
232323,"average_overall",0.457
232323,"total_weighted_overall",0.662
232323,"lang_weighted_overall",0.3
232323,"total_and_lang_weighted_overall",0.502
123,"average_overall",0.499
123,"total_weighted_overall",0.903
123,"lang_weighted_overall",0.145
123,"total_and_lang_weighted_overall",0.562
4567,"average_overall",0.493
4567,"total_weighted_overall",0.859
4567,"lang_weighted_overall",0.095
4567,"total_and_lang_weighted_overall",0.463

