42,"average_overall",0.376,0.656
42,"total_weighted_overall",0.398,1.156
42,"lang_weighted_overall",0.341,0.353
42,"total_and_lang_weighted_overall",0.417,0.822
223,"average_overall",0.264,0.667
223,"total_weighted_overall",0.282,1.095
223,"lang_weighted_overall",0.343,0.509
223,"total_and_lang_weighted_overall",0.348,0.766
12345,"average_overall",0.316,0.659
12345,"total_weighted_overall",0.38,1.093
12345,"lang_weighted_overall",0.257,0.408
12345,"total_and_lang_weighted_overall",0.295,0.802
54321,"average_overall",0.422,0.699
54321,"total_weighted_overall",0.501,1.06
54321,"lang_weighted_overall",0.398,0.288
54321,"total_and_lang_weighted_overall",0.503,0.636
13579,"average_overall",0.244,0.567
13579,"total_weighted_overall",0.255,0.954
13579,"lang_weighted_overall",0.299,0.276
13579,"total_and_lang_weighted_overall",0.323,0.658
97531,"average_overall",0.256,0.286
97531,"total_weighted_overall",0.267,0.665
97531,"lang_weighted_overall",0.261,0.187
97531,"total_and_lang_weighted_overall",0.23,0.374
101010,"average_overall",0.264,0.622
101010,"total_weighted_overall",0.325,0.867
101010,"lang_weighted_overall",0.235,0.434
101010,"total_and_lang_weighted_overall",0.238,0.671
232323,"average_overall",0.396,0.853
232323,"total_weighted_overall",0.484,1.146
232323,"lang_weighted_overall",0.428,0.729
232323,"total_and_lang_weighted_overall",0.509,1.01
123,"average_overall",0.206,0.705
123,"total_weighted_overall",0.284,1.187
123,"lang_weighted_overall",0.189,0.334
123,"total_and_lang_weighted_overall",0.219,0.781
4567,"average_overall",0.31,0.803
4567,"total_weighted_overall",0.398,1.257
4567,"lang_weighted_overall",0.353,0.448
4567,"total_and_lang_weighted_overall",0.419,0.882
